FIPS,lat,lon,income,political_leaning,density,crowding,dist_to_airport,average_strict,strict_p1,strict_p2,strict_p3,google_p1,google_p2,google_p3,per_nursing,per_incar,obesity,per_wnh,per_black,per_asian,per_other,19under,65plus,per_atleast_hs,per_hispanic,per_poc,period_1_mask_usage,period_2_mask_usage,period_3_mask_usage,deaths_1,deaths_2,deaths_3,length_1,length_2,length_3,rate_1,rate_2,rate_3,period_seeded,public_mask_usage,geometry,mask_usage_p1,mask_usage_p2,mask_usage_p3,scaled_income_p1,scaled_income_p2,scaled_income_p3,scaled_political_leaning_p1,scaled_political_leaning_p2,scaled_political_leaning_p3,scaled_density_p1,scaled_density_p2,scaled_density_p3,scaled_crowding_p1,scaled_crowding_p2,scaled_crowding_p3,scaled_dist_to_airport_p1,scaled_dist_to_airport_p2,scaled_dist_to_airport_p3,scaled_average_strict,scaled_strict_p1,scaled_strict_p2,scaled_strict_p3,scaled_google_p1,scaled_google_p2,scaled_google_p3,scaled_per_nursing_p1,scaled_per_nursing_p2,scaled_per_nursing_p3,scaled_per_incar_p1,scaled_per_incar_p2,scaled_per_incar_p3,scaled_obesity_p1,scaled_obesity_p2,scaled_obesity_p3,scaled_per_wnh_p1,scaled_per_wnh_p2,scaled_per_wnh_p3,scaled_per_black_p1,scaled_per_black_p2,scaled_per_black_p3,scaled_per_asian_p1,scaled_per_asian_p2,scaled_per_asian_p3,scaled_per_other_p1,scaled_per_other_p2,scaled_per_other_p3,scaled_19under_p1,scaled_19under_p2,scaled_19under_p3,scaled_65plus_p1,scaled_65plus_p2,scaled_65plus_p3,scaled_per_atleast_hs_p1,scaled_per_atleast_hs_p2,scaled_per_atleast_hs_p3,scaled_per_hispanic_p1,scaled_per_hispanic_p2,scaled_per_hispanic_p3,scaled_mask_usage_p1,scaled_mask_usage_p2,scaled_mask_usage_p3,scaled_lat_p1,scaled_lat_p2,scaled_lat_p3,scaled_lon_p1,scaled_lon_p2,scaled_lon_p3,scaled_per_poc_p1,scaled_per_poc_p2,scaled_per_poc_p3
1001.0,32.53952745,-86.64408227,58786.0,0.4441843716240547,93.98593634344928,299,33.55897995945632,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-32.06896551724138,-13.85981308411215,-16.136612021857925,0.002119243229698044,0.0029675725256739986,35.5,0.7502173913043478,0.19139492753623188,0.010289855072463768,0.029528985507246377,0.1981322463768116,0.1798731884057971,0.8868858634235591,0.027681159420289855,0.24978260869565216,86.93046489045884,93.45397358226461,96.51109090637267,3.0,24.0,57.0,,118.0,128.0,0.5369704129302475,4.29576330344198,10.202437845674703,2.0,,POINT (-86.64408227 32.53952745),86.81016223419539,92.78527432234505,96.22540079563802,0.11100728003748626,0.5634174397429247,0.2295704410779018,0.8705047892645368,0.8705047892645368,0.7646861305060836,0.016937826077583224,0.12101166808277668,0.016937826077583224,0.011033832581788118,0.0007904072580005606,0.011033832581788118,0.05180275252361621,0.27051503222839796,0.27051503222839796,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7330688192639213,0.653551995635683,0.5816649940620139,0.0779856304446862,0.04720245665554871,0.0779856304446862,0.02176052759113316,0.12307355542422083,0.12307355542422083,0.3317815423776568,0.3317815423776568,0.7510826648777461,0.7514953796598698,0.6519117440344676,0.5651180602888738,0.21895656537009972,0.45142205994846957,0.45142205994846957,0.028699721726075572,0.1452333796118942,0.1452333796118942,0.15569142762026653,0.0011053332303503603,0.15569142762026653,0.4707064222509789,0.4707064222509789,0.6762324068046616,0.03672049367003589,0.1908200580162981,0.4194029275327814,0.619319722953451,0.619319722953451,0.619319722953451,0.0008349323199172567,0.0008349323199172567,0.0008349323199172567,0.3489577617151207,0.46110844583070176,0.5985914892664885,0.09679997447154151,0.5433556950607162,0.09679997447154151,0.6636081009548217,0.9407190952157665,0.440821285284206,0.24850462034013038,0.24850462034013038,0.48291119568964136
1003.0,30.72774991,-87.72207058,55962.0,0.5376234283682382,140.4181710676949,991,29.124191502823003,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-38.03448275862069,-7.542056074766355,-17.53174603174603,0.0022232276445344344,0.0029492436543101155,29.4,0.8301883165871403,0.09497037581628681,0.008072770257607866,0.03429485793365913,0.18123177019514,0.24779079992503855,0.9026457762145467,0.04494322632107522,0.16981168341285968,86.93046489045884,93.45397358226461,96.51109090637267,9.0,44.0,198.0,127.0,127.0,128.0,0.40316439252085257,1.9710259189908348,8.869616635458756,1.0,80.84542364294872,POINT (-87.72207057999999 30.72774991),87.12211196002913,93.94157815595402,95.89438127004514,0.09540294678110645,0.5412661708477757,0.21006530476157098,0.9036240291225686,0.9036240291225686,0.8218728701523907,0.023496665105121325,0.1569801828337738,0.023496665105121325,0.029458078483502414,0.0026197110123028612,0.029458078483502414,0.04470113802471805,0.25002395353741697,0.25002395353741697,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.6383910247639897,0.6951522048919951,0.5631643571303281,0.08181213324238212,0.04961462462550029,0.08181213324238212,0.02162612618810847,0.12261313295702472,0.12261313295702472,0.1590860329098428,0.1590860329098428,0.6195255845773016,0.8323872472420382,0.7558713463341511,0.69314700984597,0.10864649114959055,0.30912727672165724,0.30912727672165724,0.022515988643211374,0.1256366376047059,0.1256366376047059,0.1702927026091134,0.0014904326886219226,0.1702927026091134,0.41238355010027067,0.41238355010027067,0.6309637498785277,0.10260292358781138,0.31963862748425526,0.5518004710067632,0.6728305307230456,0.6728305307230456,0.6728305307230456,0.0021444877813010573,0.0021444877813010573,0.0021444877813010573,0.3616050265044271,0.5362825381732161,0.563430471241682,0.05497890949333445,0.46739507712069217,0.05497890949333445,0.6445384993106168,0.9365052108230315,0.4158871797327377,0.167612752757962,0.167612752757962,0.3911766065332354
1005.0,31.868263,-85.3871286,34186.0,0.07663053812511884,27.897568031823525,313,53.940692324708166,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-24.879310344827587,-10.046728971962617,-14.185975609756097,0.0054767884630964915,0.004461235480889032,40.8,0.4614847568070747,0.47575828097122025,0.0037235280428205724,0.04669924753704135,0.17959429059033435,0.22740671786517724,0.7303142023881583,0.04289814599332868,0.5385152431929253,86.93046489045884,93.45397358226461,96.51109090637267,1.0,6.0,41.0,,56.0,128.0,0.4050879040751843,2.430527424451106,16.608604067082556,2.0,,POINT (-85.3871286 31.868263),86.99127887226946,92.89542062458017,96.2147230751594,0.014753438545183116,0.3272589716957965,0.07458696320739638,0.7263296844954533,0.7263296844954533,0.5397351719379552,0.005714525195944669,0.0467060872501293,0.005714525195944669,0.011482894336293091,0.0008274162934922255,0.011482894336293091,0.08548985627628862,0.3508597395243682,0.3508597395243682,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.8471747161034342,0.678950833636131,0.6075320547101279,0.20153930191751512,0.12994626948798285,0.20153930191751512,0.03271321490293799,0.15687109407420788,0.15687109407420788,0.532784552582234,0.532784552582234,0.8496006134298825,0.45943771052809057,0.33939922868413497,0.2115787278207083,0.5442693831482099,0.7295051191559513,0.7295051191559513,0.010385395898739517,0.07749134967765053,0.07749134967765053,0.2041110974230753,0.0027618987358723397,0.2041110974230753,0.40673267301172783,0.40673267301172783,0.6264124816901663,0.07935097041243186,0.2809763684305065,0.5154334798599992,0.20811956495618744,0.20811956495618744,0.20811956495618744,0.0019576969983546425,0.0019576969983546425,0.0019576969983546425,0.3562732985250695,0.4680248204190595,0.59744068808157,0.0799349509288402,0.5164390752054872,0.0799349509288402,0.6858435978983103,0.9454824806236303,0.4708115049639678,0.5405622894719097,0.5405622894719097,0.7269099279511326
1007.0,32.99642064,-87.12511459999996,45340.0,0.5772798332464826,35.969674579973656,52,40.825140956229525,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-29.79310344827586,-23.542056074766354,-19.01219512195122,0.004635170134857551,0.003705357142857143,38.4,0.7458161317530075,0.22275491632263505,0.001642473476272917,0.009055799707018244,0.17130998357526522,0.19754072890309407,0.8320659062103929,0.02428197274381853,0.25418386824699246,86.93046489045884,93.45397358226461,96.51109090637267,1.0,9.0,47.0,,20.0,128.0,0.446548182548897,4.018933642940073,20.98776457979816,2.0,,POINT (-87.12511459999996 32.99642064),87.00600462875859,92.92680431472078,96.32331251185283,0.047288201888813684,0.44890847116747473,0.14080595961806855,0.917331194472853,0.917331194472853,0.8461434544251917,0.007254988064174259,0.05810600293709035,0.007254988064174259,0.0021710760940746882,0.00013746213182618441,0.0021710760940746882,0.06361273109591001,0.3013824149529261,0.3013824149529261,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7691886715008895,0.5843786827693281,0.5435323712998575,0.1705687483719137,0.10823555262525414,0.1705687483719137,0.027170532697876455,0.1405937030659442,0.1405937030659442,0.4358945035834226,0.4358945035834226,0.8064229981236974,0.7470434353618289,0.6464307509716376,0.5584510790298669,0.254832518422282,0.4894079088398347,0.4894079088398347,0.004581068574778868,0.0444677381802151,0.0444677381802151,0.07189235324997134,0.00010400129964963926,0.07189235324997134,0.37814385848938437,0.37814385848938437,0.6028874153234803,0.05067121386157575,0.22432988325852143,0.4572989425099717,0.4504532545590915,0.4504532545590915,0.4504532545590915,0.0006484743360502884,0.0006484743360502884,0.0006484743360502884,0.3568714268708461,0.4700049091419758,0.609195643725869,0.10920166227731117,0.5609787093831698,0.10920166227731117,0.6550986441954223,0.9388538683278237,0.4296052204741231,0.2529565646381712,0.2529565646381712,0.4874903711178039
1009.0,33.98210918,-86.56790593,48695.0,0.8000217485863419,89.6833028319737,339,34.92877811288357,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-31.879310344827587,-13.607476635514018,-16.68032786885246,0.0030972227025905306,0.0023167358229598894,33.7,0.8714025500910747,0.014953595281464133,0.003434816549570648,0.026559111805013445,0.19445398560152657,0.22517130713852027,0.8016251545663311,0.09126550438025847,0.1285974499089253,86.93046489045884,93.45397358226461,96.51109090637267,1.0,14.0,106.0,,69.0,128.0,0.17293259087607651,2.421056272265071,18.33085463286411,2.0,,POINT (-86.56790592999999 33.98210918),86.7787817370659,92.69705540103226,96.25441208930205,0.06067964978670044,0.47988138585367934,0.16200099100966422,0.9909161342296543,0.9909161342296543,0.9824663622616223,0.016285558239367694,0.11717765261710106,0.016285558239367694,0.012304963765731302,0.0008961473594053178,0.012304963765731302,0.0540124935703333,0.2765698567207123,0.2765698567207123,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7360788069503353,0.6552617778448907,0.574454869867524,0.11397411193972885,0.07025803867658635,0.11397411193972885,0.01698809156667041,0.10578938727909469,0.10578938727909469,0.274294569325384,0.274294569325384,0.7146751043387445,0.8740761023767203,0.8128235887508142,0.7642287274958405,0.017106973026461733,0.1062460621536827,0.1062460621536827,0.009580142621891505,0.07352536638716102,0.07352536638716102,0.14598998791386125,0.0008943889156347224,0.14598998791386125,0.45801289038667764,0.45801289038667764,0.6666295705214399,0.0769825927260149,0.2767364900611134,0.5112973879321194,0.36826711265631534,0.36826711265631534,0.36826711265631534,0.00865365748874311,0.00865365748874311,0.00865365748874311,0.34769797583531425,0.4556060802953278,0.6017237994624982,0.13850179575519353,0.5973212693992673,0.13850179575519353,0.6649556595925527,0.9410122806211478,0.44261071910514155,0.12592389762327982,0.12592389762327982,0.33506935743289046
1011.0,32.10030533,-85.71265535,32152.0,-0.4985909386516367,16.218429376535383,0,30.217802828726494,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-31.023809523809526,-27.194805194805195,-23.29310344827586,0.008731808731808732,0.003156441112645492,45.6,0.21522411128284388,0.7624613601236476,0.005409582689335394,0.012268160741885626,0.18265069551777433,0.22169629057187018,0.7522522522522522,0.004926584234930448,0.7847758887171561,86.93046489045884,93.45397358226461,96.51109090637267,4.0,11.0,17.0,,127.0,126.0,3.96000396000396,10.89001089001089,16.83001683001683,1.0,,POINT (-85.71265535000001 32.10030533),87.0880619967136,93.22849756444418,96.49074702479635,0.010807294772614285,0.3003179292415714,0.0631826007248197,0.41569616527857156,0.41569616527857156,0.18768708864601397,0.003369236676226885,0.02843957039815084,0.003369236676226885,0.0,0.0,0.0,0.046444957488898264,0.2552125535964111,0.2552125535964111,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7496563271635102,0.5561747395563451,0.4867639676039897,0.32132017662245616,0.22053833692665062,0.32132017662245616,0.023145457550665684,0.12774098024987682,0.12774098024987682,0.7557113328777814,0.7557113328777814,0.9301642656290288,0.2103411362668481,0.1362401558344527,0.04457492602650944,0.8722588565388444,0.9318626972938513,0.9318626972938513,0.015088017930747,0.09827435719000285,0.09827435719000285,0.08892381216723039,0.00019104745801144118,0.08892381216723039,0.4172802050402748,0.4172802050402748,0.6348824660323313,0.07337211908460779,0.2701454652447225,0.5048045044392403,0.25255326254029037,0.25255326254029037,0.25255326254029037,3.4606241910113686e-05,3.4606241910113686e-05,3.4606241910113686e-05,0.3602136058224209,0.48925283616493126,0.6275450797940978,0.08558242295093452,0.5258903167888987,0.08558242295093452,0.6800850331815622,0.9442638177081574,0.46294992257877216,0.7896588637331521,0.7896588637331521,0.8851145610241987
1013.0,31.75300095,-86.68057478,39109.0,0.1573566610455312,25.0350784598947,119,42.46338252223229,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-35.39655172413793,-21.92056074766355,-16.878048780487806,0.007142122583299054,0.0039126016260162605,41.4,0.5185518102372035,0.45218476903870164,0.01153558052434457,0.016229712858926344,0.19275405742821475,0.2306616729088639,0.8458381336405529,0.0033458177278401996,0.48144818976279646,86.93046489045884,93.45397358226461,96.51109090637267,16.0,24.0,24.0,127.0,125.0,127.0,8.227067050596462,12.340600575894694,12.340600575894694,1.0,,POINT (-86.68057478 31.75300095),86.99905792479164,93.02996199892827,96.23822107726964,0.02684120456548812,0.38533879391456993,0.10303099361313915,0.7602448077760199,0.7602448077760199,0.5891413189493095,0.0051531754290007155,0.04243772779687874,0.0051531754290007155,0.00478318305590962,0.0003145768016791528,0.00478318305590962,0.06630568681989,0.30795558840932763,0.30795558840932763,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.6802572171295664,0.5964936387768415,0.5718329261875325,0.26282161696520706,0.17493911024984973,0.26282161696520706,0.02869020888266316,0.14520489106800044,0.14520489106800044,0.5585251212016205,0.5585251212016205,0.8600687684975579,0.5171619460930853,0.39414997058288276,0.2679548925937858,0.5173011908721726,0.7104189001597074,0.7104189001597074,0.032174209322285076,0.15535005327729023,0.15535005327729023,0.10709752679995305,0.00033430824511286925,0.10709752679995305,0.4521465057681795,0.4521465057681795,0.6621467255272809,0.0828636980043489,0.2871500050327218,0.5214007840052386,0.4903540250732132,0.4903540250732132,0.4903540250732132,1.8124225416526504e-05,1.8124225416526504e-05,1.8124225416526504e-05,0.35658920428882745,0.4765428779715506,0.5999746698039392,0.07720134063631576,0.5116833737005684,0.07720134063631576,0.6629625488442452,0.9405784331784962,0.4399653355965536,0.4828380539069148,0.4828380539069148,0.6852901254261363
1015.0,33.77483727,-85.82630386,45197.0,0.3900319714414609,187.5072210210111,772,63.255459712315144,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-33.224137931034484,-13.369158878504672,-17.06084656084656,0.004493640244707539,0.004349081617473332,41.0,0.7247997358772524,0.20570296616796122,0.009252984413282594,0.04169490347356166,0.1794688005004431,0.22080314167057638,0.8405256839577937,0.036516707501433564,0.27520026412274756,86.93046489045884,93.45397358226461,96.51109090637267,3.0,41.0,218.0,,20.0,125.0,0.26407288411601604,3.6089960829188854,19.18929624576383,2.0,,POINT (-85.82630386 33.77483727),86.80411979453115,92.75423798838995,95.93521443099597,0.04675446759339377,0.4475439248230752,0.1399161053480469,0.8507424538479631,0.8507424538479631,0.731543681102479,0.02944458433651589,0.18613477655220032,0.02944458433651589,0.02427606892978248,0.002040783957111815,0.02427606892978248,0.10147592795340667,0.38243250322890876,0.38243250322890876,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7147352579012177,0.656872679184486,0.5694088756358535,0.1653606167353726,0.1046501809687496,0.1653606167353726,0.0318908163875874,0.15454537824705641,0.15454537824705641,0.5412972729500436,0.5412972729500436,0.8531037450036898,0.7257850154270303,0.6205923640884377,0.5271611363765156,0.2353250189979687,0.46911000538011915,0.46911000538011915,0.02580775685632089,0.13635162664313696,0.13635162664313696,0.1910836517424474,0.002202149850438429,0.1910836517424474,0.40629961169497947,0.40629961169497947,0.6260623928128946,0.07245816207243569,0.2684514397745549,0.5031229923151815,0.4747622720658033,0.4747622720658033,0.4747622720658033,0.0014295174180069005,0.0014295174180069005,0.0014295174180069005,0.3487150078314464,0.4591688906893987,0.5677102461988454,0.13205173980467683,0.5898553048990479,0.13205173980467683,0.6780745922583603,0.943835927872068,0.4602208601305971,0.2742149845729699,0.2742149845729699,0.5088226236005351
1017.0,32.91360079,-85.39072749,39872.0,0.156241821512693,55.745729468761006,404,67.52626072817749,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-33.241379310344826,-11.710280373831775,-13.851515151515152,0.007920851626871955,0.004432544994793991,39.1,0.5579140306273281,0.393750369538225,0.011973038491101519,0.018299532903683555,0.17352036894696388,0.23390291491751908,0.8139959259887964,0.02270442854608881,0.44208596937267186,86.93046489045884,93.45397358226461,96.51109090637267,24.0,18.0,52.0,127.0,126.0,127.0,7.217176880976725,5.412882660732543,15.63721657544957,1.0,,POINT (-85.39072749 32.91360079),87.40171787607842,92.90917842759133,95.69669536170352,0.029035976923303168,0.3936327049749587,0.10754841594336166,0.7597863196013047,0.7597863196013047,0.5884590128523379,0.010798744451038367,0.08274255955487467,0.010798744451038367,0.014297186727154037,0.0010679750241880481,0.014297186727154037,0.10893297625140592,0.39613190720798086,0.39613190720798086,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.7144616226569984,0.6679832019915929,0.6119672784678925,0.2914779196290939,0.19694329248022496,0.2914779196290939,0.032502834159460675,0.15627886961719897,0.15627886961719897,0.4631504972747853,0.4631504972747853,0.8192425639724915,0.5569774603975474,0.433799042616884,0.31071641348472706,0.45045200328507434,0.6608464638045777,0.6608464638045777,0.033394335536343904,0.15877588865845704,0.15877588865845704,0.11570999572337884,0.00042493433196133843,0.11570999572337884,0.3857718106282232,0.3857718106282232,0.6092486172030691,0.08643722191925077,0.29329763227571043,0.527279756688172,0.4006689787800612,0.4006689787800612,0.4006689787800612,0.0005699235280355792,0.0005699235280355792,0.0005699235280355792,0.37313231070624125,0.4688923258809073,0.5429397274118025,0.10689818891189312,0.5578232624896734,0.10689818891189312,0.6857799335728025,0.9454690635242019,0.47072422870086134,0.4430225396024528,0.4430225396024528,0.6551165130344041
1019.0,34.17805983,-85.60638968,41014.0,0.7283147711568165,47.31081813256276,155,67.24452311868406,36.473213213212865,52.89754098360656,37.65426229508197,28.83340000000008,-27.620689655172413,-15.27570093457944,-13.271341463414634,0.0054092227821041375,0.004801782421634911,38.7,0.9178818705759486,0.049007852086798434,0.002127412679379569,0.020655243105248907,0.16603102154488839,0.27304374734073417,0.8022813688212928,0.015394731752601245,0.08211812942405139,86.93046489045884,93.45397358226461,96.51109090637267,3.0,10.0,24.0,,20.0,128.0,1.1452130096197892,3.8173766987326307,9.161704076958314,2.0,,POINT (-85.60638968000001 34.17805983),87.18717007514813,92.7917049104941,95.46669147267588,0.03248207500073514,0.4057533115698983,0.11436547182444767,0.9678179412034134,0.9678179412034134,0.9385801289029883,0.009323873524045196,0.07274254508315721,0.009323873524045196,0.00611405350613295,0.00040974289294343436,0.00611405350613295,0.10843855025067009,0.3952416935107989,0.3952416935107989,0.29602894259234264,0.3164976460081304,0.27851523160812475,0.3079116621756247,0.8036667122725408,0.6438780737422923,0.6196608639477029,0.19905296521261312,0.1281783879459209,0.19905296521261312,0.03521036738567087,0.16376426121441098,0.16376426121441098,0.4474744399788849,0.4474744399788849,0.8119409246648965,0.921090677044654,0.8799654884077146,0.8485531104717249,0.05606517950722551,0.21391816971412106,0.21391816971412106,0.005933626029205034,0.05330461523171384,0.05330461523171384,0.12494035441622599,0.000541252198067264,0.12494035441622599,0.3599263701608597,0.3599263701608597,0.5874312680660464,0.13554640205172813,0.36753560866737367,0.5939334944460085,0.3699515796149413,0.3699515796149413,0.3699515796149413,0.0002720090459461882,0.0002720090459461882,0.0002720090459461882,0.36427102523775756,0.4615108241175845,0.5195768036246964,0.1447409681992602,0.6042989715363355,0.1447409681992602,0.6819648717443334,0.9446627698374688,0.4655089980406724,0.07890932295534621,0.07890932295534621,0.2591242944442878
